User ID,Email Address,Date of Birth,Gender,Location,Membership Start Date,Membership End Date,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Engagement Metrics,Feedback/Ratings,Customer Support Interactions
1,williamholland@example.com,1953-06-03,Male,Rebeccachester,2024-01-15,2025-01-14,Annual,Mastercard,Manual,Regular,Electronics,Documentary,Medium,3.6,3
2,scott22@example.org,1978-07-08,Male,Mcphersonview,2024-01-07,2025-01-06,Monthly,Visa,Manual,Regular,Electronics,Horror,Medium,3.8,7
3,brooke16@example.org,1994-12-06,Female,Youngfort,2024-04-13,2025-04-13,Monthly,Mastercard,Manual,Regular,Books,Comedy,Low,3.3,8
4,elizabeth31@example.net,1964-12-22,Female,Feliciashire,2024-01-24,2025-01-23,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,High,3.3,7
5,pattersonalexandra@example.org,1961-06-04,Male,Port Deborah,2024-02-14,2025-02-13,Annual,Visa,Auto-renew,Frequent,Clothing,Drama,Low,4.3,1
6,gparks@example.org,1954-09-19,Female,Lake Johnathan,2024-01-15,2025-01-14,Monthly,Amex,Manual,Occasional,Books,Action,Low,3.8,2
7,michaellewis@example.net,2003-02-09,Male,Carlsonchester,2024-04-08,2025-04-08,Monthly,Amex,Auto-renew,Frequent,Clothing,Sci-Fi,Medium,4.4,10
8,adrienne49@example.org,1946-10-04,Male,West Matthewborough,2024-02-16,2025-02-15,Monthly,Visa,Manual,Regular,Electronics,Horror,Medium,3.6,6
9,brittany02@example.net,1950-12-24,Female,Karenshire,2024-04-09,2025-04-09,Annual,Amex,Manual,Frequent,Electronics,Documentary,Medium,4.0,8
10,jessica53@example.net,1963-06-16,Male,West Stephen,2024-03-10,2025-03-10,Monthly,Visa,Auto-renew,Frequent,Clothing,Drama,High,4.9,6
11,tonya16@example.com,1997-11-28,Female,Cynthiaport,2024-03-24,2025-03-24,Monthly,Visa,Manual,Regular,Books,Documentary,Low,4.0,1
12,brian80@example.org,1952-09-08,Female,Hillberg,2024-03-07,2025-03-07,Annual,Amex,Manual,Regular,Books,Horror,Low,4.4,6
